2017-02-27 18:17:34 startup archives install
2017-02-27 18:17:35 install base-passwd:amd64 <none> 3.5.37
2017-02-27 18:17:35 status half-installed base-passwd:amd64 3.5.37
2017-02-27 18:17:35 status unpacked base-passwd:amd64 3.5.37
2017-02-27 18:17:35 status unpacked base-passwd:amd64 3.5.37
2017-02-27 18:17:35 configure base-passwd:amd64 3.5.37 3.5.37
2017-02-27 18:17:35 status unpacked base-passwd:amd64 3.5.37
2017-02-27 18:17:35 status half-configured base-passwd:amd64 3.5.37
2017-02-27 18:17:35 status installed base-passwd:amd64 3.5.37
2017-02-27 18:17:35 startup archives install
2017-02-27 18:17:35 install base-files:amd64 <none> 8+deb8u7
2017-02-27 18:17:35 status half-installed base-files:amd64 8+deb8u7
2017-02-27 18:17:36 status unpacked base-files:amd64 8+deb8u7
2017-02-27 18:17:36 status unpacked base-files:amd64 8+deb8u7
2017-02-27 18:17:36 configure base-files:amd64 8+deb8u7 8+deb8u7
2017-02-27 18:17:36 status unpacked base-files:amd64 8+deb8u7
2017-02-27 18:17:36 status unpacked base-files:amd64 8+deb8u7
2017-02-27 18:17:37 status unpacked base-files:amd64 8+deb8u7
2017-02-27 18:17:37 status unpacked base-files:amd64 8+deb8u7
2017-02-27 18:17:37 status unpacked base-files:amd64 8+deb8u7
2017-02-27 18:17:37 status unpacked base-files:amd64 8+deb8u7
2017-02-27 18:17:37 status half-configured base-files:amd64 8+deb8u7
2017-02-27 18:17:38 status installed base-files:amd64 8+deb8u7
2017-02-27 18:17:38 startup archives install
2017-02-27 18:17:38 upgrade dpkg 1.17.27 1.17.27
2017-02-27 18:17:38 status half-configured dpkg 1.17.27
2017-02-27 18:17:38 status unpacked dpkg 1.17.27
2017-02-27 18:17:38 status half-installed dpkg 1.17.27
2017-02-27 18:17:41 status half-installed dpkg 1.17.27
2017-02-27 18:17:41 status unpacked dpkg 1.17.27
2017-02-27 18:17:41 status unpacked dpkg 1.17.27
2017-02-27 18:17:41 configure dpkg 1.17.27 1.17.27
2017-02-27 18:17:41 status unpacked dpkg 1.17.27
2017-02-27 18:17:41 status unpacked dpkg 1.17.27
2017-02-27 18:17:41 status unpacked dpkg 1.17.27
2017-02-27 18:17:41 status unpacked dpkg 1.17.27
2017-02-27 18:17:41 status unpacked dpkg 1.17.27
2017-02-27 18:17:41 status half-configured dpkg 1.17.27
2017-02-27 18:17:41 status installed dpkg 1.17.27
2017-02-27 18:17:42 startup archives install
2017-02-27 18:17:42 install libc6:amd64 <none> 2.19-18+deb8u7
2017-02-27 18:17:42 status half-installed libc6:amd64 2.19-18+deb8u7
2017-02-27 18:17:47 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-27 18:17:47 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-27 18:17:47 configure libc6:amd64 2.19-18+deb8u7 2.19-18+deb8u7
2017-02-27 18:17:47 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-27 18:17:47 status unpacked libc6:amd64 2.19-18+deb8u7
2017-02-27 18:17:47 status half-configured libc6:amd64 2.19-18+deb8u7
2017-02-27 18:17:48 status installed libc6:amd64 2.19-18+deb8u7
2017-02-27 18:17:48 startup archives install
2017-02-27 18:17:48 install perl-base:amd64 <none> 5.20.2-3+deb8u6
2017-02-27 18:17:48 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:17:57 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:17:57 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:17:57 configure perl-base:amd64 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2017-02-27 18:17:57 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:17:57 status half-configured perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:17:57 status installed perl-base:amd64 5.20.2-3+deb8u6
2017-02-27 18:17:58 startup archives install
2017-02-27 18:17:58 install mawk:amd64 <none> 1.3.3-17
2017-02-27 18:17:58 status half-installed mawk:amd64 1.3.3-17
2017-02-27 18:17:58 status unpacked mawk:amd64 1.3.3-17
2017-02-27 18:17:58 status unpacked mawk:amd64 1.3.3-17
2017-02-27 18:17:58 configure mawk:amd64 1.3.3-17 1.3.3-17
2017-02-27 18:17:58 status unpacked mawk:amd64 1.3.3-17
2017-02-27 18:17:58 status half-configured mawk:amd64 1.3.3-17
2017-02-27 18:17:58 status installed mawk:amd64 1.3.3-17
2017-02-27 18:17:59 startup archives unpack
2017-02-27 18:17:59 install acl:amd64 <none> 2.2.52-2
2017-02-27 18:17:59 status half-installed acl:amd64 2.2.52-2
2017-02-27 18:17:59 status unpacked acl:amd64 2.2.52-2
2017-02-27 18:17:59 status unpacked acl:amd64 2.2.52-2
2017-02-27 18:18:00 install libacl1:amd64 <none> 2.2.52-2
2017-02-27 18:18:00 status half-installed libacl1:amd64 2.2.52-2
2017-02-27 18:18:00 status unpacked libacl1:amd64 2.2.52-2
2017-02-27 18:18:00 status unpacked libacl1:amd64 2.2.52-2
2017-02-27 18:18:00 install adduser:all <none> 3.113+nmu3
2017-02-27 18:18:00 status half-installed adduser:all 3.113+nmu3
2017-02-27 18:18:01 status unpacked adduser:all 3.113+nmu3
2017-02-27 18:18:01 status unpacked adduser:all 3.113+nmu3
2017-02-27 18:18:01 install libattr1:amd64 <none> 1:2.4.47-2
2017-02-27 18:18:01 status half-installed libattr1:amd64 1:2.4.47-2
2017-02-27 18:18:01 status unpacked libattr1:amd64 1:2.4.47-2
2017-02-27 18:18:01 status unpacked libattr1:amd64 1:2.4.47-2
2017-02-27 18:18:01 install libaudit-common:all <none> 1:2.4-1
2017-02-27 18:18:01 status half-installed libaudit-common:all 1:2.4-1
2017-02-27 18:18:02 status unpacked libaudit-common:all 1:2.4-1
2017-02-27 18:18:02 status unpacked libaudit-common:all 1:2.4-1
2017-02-27 18:18:02 install libaudit1:amd64 <none> 1:2.4-1+b1
2017-02-27 18:18:02 status half-installed libaudit1:amd64 1:2.4-1+b1
2017-02-27 18:18:02 status unpacked libaudit1:amd64 1:2.4-1+b1
2017-02-27 18:18:02 status unpacked libaudit1:amd64 1:2.4-1+b1
2017-02-27 18:18:02 upgrade base-files:amd64 8+deb8u7 8+deb8u7
2017-02-27 18:18:02 status half-configured base-files:amd64 8+deb8u7
2017-02-27 18:18:02 status unpacked base-files:amd64 8+deb8u7
2017-02-27 18:18:02 status half-installed base-files:amd64 8+deb8u7
2017-02-27 18:18:03 status half-installed base-files:amd64 8+deb8u7
2017-02-27 18:18:03 status unpacked base-files:amd64 8+deb8u7
2017-02-27 18:18:03 status unpacked base-files:amd64 8+deb8u7
2017-02-27 18:18:03 upgrade base-passwd:amd64 3.5.37 3.5.37
2017-02-27 18:18:03 status half-configured base-passwd:amd64 3.5.37
2017-02-27 18:18:03 status unpacked base-passwd:amd64 3.5.37
2017-02-27 18:18:03 status half-installed base-passwd:amd64 3.5.37
2017-02-27 18:18:03 status half-installed base-passwd:amd64 3.5.37
2017-02-27 18:18:03 status unpacked base-passwd:amd64 3.5.37
2017-02-27 18:18:04 status unpacked base-passwd:amd64 3.5.37
2017-02-27 18:18:04 install bash:amd64 <none> 4.3-11+deb8u1
2017-02-27 18:18:04 status half-installed bash:amd64 4.3-11+deb8u1
2017-02-27 18:18:05 status unpacked bash:amd64 4.3-11+deb8u1
2017-02-27 18:18:05 status unpacked bash:amd64 4.3-11+deb8u1
2017-02-27 18:18:05 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2017-02-27 18:18:05 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2017-02-27 18:18:05 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2017-02-27 18:18:05 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2017-02-27 18:18:05 install libdebconfclient0:amd64 <none> 0.192
2017-02-27 18:18:05 status half-installed libdebconfclient0:amd64 0.192
2017-02-27 18:18:06 status unpacked libdebconfclient0:amd64 0.192
2017-02-27 18:18:06 status unpacked libdebconfclient0:amd64 0.192
2017-02-27 18:18:06 install coreutils:amd64 <none> 8.23-4
2017-02-27 18:18:06 status half-installed coreutils:amd64 8.23-4
2017-02-27 18:18:08 status unpacked coreutils:amd64 8.23-4
2017-02-27 18:18:08 status unpacked coreutils:amd64 8.23-4
2017-02-27 18:18:08 install libcryptsetup4:amd64 <none> 2:1.6.6-5
2017-02-27 18:18:08 status half-installed libcryptsetup4:amd64 2:1.6.6-5
2017-02-27 18:18:08 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2017-02-27 18:18:08 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2017-02-27 18:18:08 install dash:amd64 <none> 0.5.7-4+b1
2017-02-27 18:18:08 status half-installed dash:amd64 0.5.7-4+b1
2017-02-27 18:18:09 status unpacked dash:amd64 0.5.7-4+b1
2017-02-27 18:18:09 status unpacked dash:amd64 0.5.7-4+b1
2017-02-27 18:18:09 install libdb5.3:amd64 <none> 5.3.28-9
2017-02-27 18:18:09 status half-installed libdb5.3:amd64 5.3.28-9
2017-02-27 18:18:09 status unpacked libdb5.3:amd64 5.3.28-9
2017-02-27 18:18:09 status unpacked libdb5.3:amd64 5.3.28-9
2017-02-27 18:18:10 install debconf:all <none> 1.5.56
2017-02-27 18:18:10 status half-installed debconf:all 1.5.56
2017-02-27 18:18:10 status unpacked debconf:all 1.5.56
2017-02-27 18:18:10 status unpacked debconf:all 1.5.56
2017-02-27 18:18:10 install debconf-i18n:all <none> 1.5.56
2017-02-27 18:18:10 status half-installed debconf-i18n:all 1.5.56
2017-02-27 18:18:11 status unpacked debconf-i18n:all 1.5.56
2017-02-27 18:18:11 status unpacked debconf-i18n:all 1.5.56
2017-02-27 18:18:11 install debianutils:amd64 <none> 4.4+b1
2017-02-27 18:18:11 status half-installed debianutils:amd64 4.4+b1
2017-02-27 18:18:11 status unpacked debianutils:amd64 4.4+b1
2017-02-27 18:18:11 status unpacked debianutils:amd64 4.4+b1
2017-02-27 18:18:12 install diffutils:amd64 <none> 1:3.3-1+b1
2017-02-27 18:18:12 status half-installed diffutils:amd64 1:3.3-1+b1
2017-02-27 18:18:12 status unpacked diffutils:amd64 1:3.3-1+b1
2017-02-27 18:18:12 status unpacked diffutils:amd64 1:3.3-1+b1
2017-02-27 18:18:12 upgrade dpkg:amd64 1.17.27 1.17.27
2017-02-27 18:18:12 status half-configured dpkg:amd64 1.17.27
2017-02-27 18:18:12 status unpacked dpkg:amd64 1.17.27
2017-02-27 18:18:12 status half-installed dpkg:amd64 1.17.27
2017-02-27 18:18:14 status half-installed dpkg:amd64 1.17.27
2017-02-27 18:18:14 status unpacked dpkg:amd64 1.17.27
2017-02-27 18:18:14 status unpacked dpkg:amd64 1.17.27
2017-02-27 18:18:14 install e2fslibs:amd64 <none> 1.42.12-2+b1
2017-02-27 18:18:14 status half-installed e2fslibs:amd64 1.42.12-2+b1
2017-02-27 18:18:14 status unpacked e2fslibs:amd64 1.42.12-2+b1
